userId,bookId,location,Occupied
1,2767052-the-hunger-games,"[6.9621549812668615, 79.99639520516799]",1
2,2.Harry_Potter_and_the_Order_of_the_Phoenix,"[6.953508898868067, 79.86310586958136]",1
3,2657.To_Kill_a_Mockingbird,"[7.664208005601834, 79.87878252448866]",0
4,1885.Pride_and_Prejudice,"[7.761101610578739, 79.8663005990348]",1
5,41865.Twilight,"[7.253448419602535, 80.00579288218483]",0
6,19063.The_Book_Thief,"[7.421938406908479, 79.89750667888109]",0
7,170448.Animal_Farm,"[7.656979613212839, 80.01334083137148]",0
8,11127.The_Chronicles_of_Narnia,"[7.840381499592027, 79.87756093916371]",0
9,30.J_R_R_Tolkien_4_Book_Boxed_Set,"[7.70268772870301, 79.98433477981949]",1
10,18405.Gone_with_the_Wind,"[7.644091108357632, 79.90529595672517]",0
11,11870085-the-fault-in-our-stars,"[7.077113915751379, 80.01827407648489]",0
12,386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"[7.3318879568048505, 80.02342254435816]",1
13,370493.The_Giving_Tree,"[7.214480710164664, 79.99278616537605]",1
14,6185.Wuthering_Heights,"[7.10012569504222, 79.9911174963591]",0
15,968.The_Da_Vinci_Code,"[6.948592072946775, 80.0254681385284]",0
16,929.Memoirs_of_a_Geisha,"[7.82512081712661, 79.89680843257531]",0
17,5297.The_Picture_of_Dorian_Gray,"[7.926101979765549, 80.02181797341548]",1
18,24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,"[7.22993902962532, 80.01213581376946]",0
19,10210.Jane_Eyre,"[7.076790303577554, 79.86145495734787]",1
20,24280.Les_Mis_rables,"[6.944965357802821, 79.96402078423874]",0
21,13079982-fahrenheit-451,"[7.450697717071489, 79.89821221563099]",1
22,13335037-divergent,"[7.367526280137476, 79.87889073023287]",0
23,7624.Lord_of_the_Flies,"[7.076545443093242, 79.99496956301385]",0
24,18135.Romeo_and_Juliet,"[6.955046340836147, 79.88230324462336]",1
25,18144590-the-alchemist,"[7.5653904744138, 79.98698944401134]",0
26,7144.Crime_and_Punishment,"[7.086845779381592, 79.95437289143851]",0
27,22628.The_Perks_of_Being_a_Wallflower,"[7.284576572881685, 79.89869406578728]",0
28,4671.The_Great_Gatsby,"[6.981611323666183, 79.94716816310601]",0
29,256683.City_of_Bones,"[7.292950805488143, 79.91081602596843]",0
30,375802.Ender_s_Game,"[7.659937612303681, 79.98996368582678]",0
31,4667024-the-help,"[7.032736260730511, 79.87475268276087]",1
32,8127.Anne_of_Green_Gables,"[7.5790916631268175, 79.96936305892272]",0
33,3.Harry_Potter_and_the_Sorcerer_s_Stone,"[7.593864981916024, 79.98666077196967]",0
34,157993.The_Little_Prince,"[7.513458383810825, 79.87852978849469]",0
35,24178.Charlotte_s_Web,"[7.510769375080524, 79.95124403250706]",1
36,890.Of_Mice_and_Men,"[6.966811835086997, 79.94770743720608]",0
